Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status
223,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5110,10000000,691,3300196,,,,,,,,,,
224,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5122,10000000,691,3300196,,,,,,,,,,
225,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5125,10000000,691,3300196,,,,,,,,,,
226,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,740,10000000,691,3300196,,,,,,,,,,
227,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,742,10000000,691,3300196,,,,,,,,,,
228,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,744,10000000,691,3300196,,,,,,,,,,
229,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6217,10000000,691,3300196,,,,,,,,,,
230,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6221,10000000,691,3300196,,,,,,,,,,
231,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6233,10000000,691,3300196,,,,,,,,,,
232,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6241,10000000,691,3300196,,,,,,,,,,
233,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6247,10000000,691,3300196,,,,,,,,,,
234,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6214,10000000,691,3300196,,,,,,,,,,
235,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6238,10000000,691,3300196,,,,,,,,,,
236,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4592,10000000,691,3300196,,,,,,,,,,
237,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6203,10000000,691,3300196,,,,,,,,,,
238,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6231,10000000,691,3300196,,,,,,,,,,
239,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6227,10000000,691,3300196,,,,,,,,,,
240,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4574,10000000,691,3300196,,,,,,,,,,
241,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6207,10000000,691,3300196,,,,,,,,,,
242,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6211,10000000,691,3300196,,,,,,,,,,
243,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6243,10000000,691,3300196,,,,,,,,,,
244,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6225,10000000,691,3300196,,,,,,,,,,
245,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6245,10000000,691,3300196,,,,,,,,,,
246,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6230,10000000,691,3300196,,,,,,,,,,
247,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6204,10000000,691,3300196,,,,,,,,,,
248,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4582,10000000,691,3300196,,,,,,,,,,
249,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4584,10000000,691,3300196,,,,,,,,,,
250,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6222,10000000,691,3300196,,,,,,,,,,
251,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6232,10000000,691,3300196,,,,,,,,,,
252,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6246,10000000,691,3300196,,,,,,,,,,
253,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6248,10000000,691,3300196,,,,,,,,,,
254,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6206,10000000,691,3300196,,,,,,,,,,
255,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6210,10000000,691,3300196,,,,,,,,,,
256,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6228,10000000,691,3300196,,,,,,,,,,
257,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6242,10000000,691,3300196,,,,,,,,,,
258,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6215,10000000,691,3300196,,,,,,,,,,
259,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6216,10000000,691,3300196,,,,,,,,,,
260,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6236,10000000,691,3300196,,,,,,,,,,
261,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6202,10000000,691,3300196,,,,,,,,,,
262,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6249,10000000,691,3300196,,,,,,,,,,
263,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6218,10000000,691,3300196,,,,,,,,,,
264,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6224,10000000,691,3300196,,,,,,,,,,
265,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4585,10000000,691,3300196,,,,,,,,,,
266,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6229,10000000,691,3300196,,,,,,,,,,
267,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4575,10000000,691,3300196,,,,,,,,,,
268,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6223,10000000,691,3300196,,,,,,,,,,
269,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6250,10000000,691,3300196,,,,,,,,,,
270,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4594,10000000,691,3300196,,,,,,,,,,
271,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6201,10000000,691,3300196,,,,,,,,,,
272,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6205,10000000,691,3300196,,,,,,,,,,
273,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6208,10000000,691,3300196,,,,,,,,,,
274,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4561,10000000,691,3300196,,,,,,,,,,
275,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4595,10000000,691,3300196,,,,,,,,,,
276,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6220,10000000,691,3300196,,,,,,,,,,
277,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4583,10000000,691,3300196,,,,,,,,,,
278,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6212,10000000,691,3300196,,,,,,,,,,
279,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6219,10000000,691,3300196,,,,,,,,,,
280,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6239,10000000,691,3300196,,,,,,,,,,
281,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6234,10000000,691,3300196,,,,,,,,,,
282,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6235,10000000,691,3300196,,,,,,,,,,
283,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6244,10000000,691,3300196,,,,,,,,,,
284,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4593,10000000,691,3300196,,,,,,,,,,
285,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6237,10000000,691,3300196,,,,,,,,,,
286,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6209,10000000,691,3300196,,,,,,,,,,
287,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5708,10000000,691,3300196,,,,,,,,,,
288,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5712,10000000,691,3300196,,,,,,,,,,
289,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5717,10000000,691,3300196,,,,,,,,,,
290,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5720,10000000,691,3300196,,,,,,,,,,
291,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5704,10000000,691,3300196,,,,,,,,,,
292,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5722,10000000,691,3300196,,,,,,,,,,
293,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,6832,1000000,691,3300196,,,,,,,,,,
294,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,6838,1000000,691,3300196,,,,,,,,,,
295,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,6840,1000000,691,3300196,,,,,,,,,,
296,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,6836,1000000,691,3300196,,,,,,,,,,
297,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,6834,1000000,691,3300196,,,,,,,,,,
298,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12449,1000000,691,3627829,,,,,,,,,,
299,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12415,1000000,691,3627829,,,,,,,,,,
300,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12469,1000000,691,3627829,,,,,,,,,,
301,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12435,1000000,691,3627829,,,,,,,,,,
302,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12473,1000000,691,3627829,,,,,,,,,,
303,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12403,1000000,691,3627829,,,,,,,,,,
304,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12413,1000000,691,3627829,,,,,,,,,,
305,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12417,1000000,691,3627829,,,,,,,,,,
306,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12465,1000000,691,3627829,,,,,,,,,,
307,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12409,1000000,691,3627829,,,,,,,,,,
308,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12433,1000000,691,3627829,,,,,,,,,,
309,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12445,1000000,691,3627829,,,,,,,,,,
310,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12459,1000000,691,3627829,,,,,,,,,,
311,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12425,1000000,691,3627829,,,,,,,,,,
312,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12437,1000000,691,3627829,,,,,,,,,,
313,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12471,1000000,691,3627829,,,,,,,,,,
314,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12405,1000000,691,3627829,,,,,,,,,,
315,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12411,1000000,691,3627829,,,,,,,,,,
316,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12439,1000000,691,3627829,,,,,,,,,,
317,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12447,1000000,691,3627829,,,,,,,,,,
318,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12455,1000000,691,3627829,,,,,,,,,,
319,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12429,1000000,691,3627829,,,,,,,,,,
320,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12431,1000000,691,3627829,,,,,,,,,,
321,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12461,1000000,691,3627829,,,,,,,,,,
322,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12441,1000000,691,3627829,,,,,,,,,,
323,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12463,1000000,691,3627829,,,,,,,,,,
324,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12467,1000000,691,3627829,,,,,,,,,,
325,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12453,1000000,691,3627829,,,,,,,,,,
326,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12475,1000000,691,3627829,,,,,,,,,,
327,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12407,1000000,691,3627829,,,,,,,,,,
328,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12457,1000000,691,3627829,,,,,,,,,,
329,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12477,1000000,691,3627829,,,,,,,,,,
330,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12451,1000000,691,3627829,,,,,,,,,,
331,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12479,1000000,691,3627829,,,,,,,,,,
332,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12421,1000000,691,3627829,,,,,,,,,,
333,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12423,1000000,691,3627829,,,,,,,,,,
334,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12443,1000000,691,3627829,,,,,,,,,,
335,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12419,1000000,691,3627829,,,,,,,,,,
336,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12427,1000000,691,3627829,,,,,,,,,,
337,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12408,1000000,691,3627829,,,,,,,,,,
338,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12398,1000000,691,3627829,,,,,,,,,,
339,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12394,1000000,691,3627829,,,,,,,,,,
340,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12402,1000000,691,3627829,,,,,,,,,,
341,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12396,1000000,691,3627829,,,,,,,,,,
342,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12390,1000000,691,3627829,,,,,,,,,,
343,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12406,1000000,691,3627829,,,,,,,,,,
344,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12404,1000000,691,3627829,,,,,,,,,,
345,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12392,1000000,691,3627829,,,,,,,,,,
346,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12400,1000000,691,3627829,,,,,,,,,,
347,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12472,1000000,691,3627829,,,,,,,,,,
348,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12480,1000000,691,3627829,,,,,,,,,,
349,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12476,1000000,691,3627829,,,,,,,,,,
350,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12474,1000000,691,3627829,,,,,,,,,,
351,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12478,1000000,691,3627829,,,,,,,,,,
352,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12468,1000000,691,3627829,,,,,,,,,,
353,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12484,1000000,691,3627829,,,,,,,,,,
354,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12482,1000000,691,3627829,,,,,,,,,,
355,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,12470,1000000,691,3627829,,,,,,,,,,
356,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,888,1000000,691,3300196,,,,,,,,,,
357,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,876,1000000,691,3300196,,,,,,,,,,
358,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,883,1000000,691,3300196,,,,,,,,,,
359,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,886,1000000,691,3300196,,,,,,,,,,
360,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,880,1000000,691,3300196,,,,,,,,,,
361,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,894,1000000,691,3300196,,,,,,,,,,
362,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,898,1000000,691,3300196,,,,,,,,,,
363,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,896,1000000,691,3300196,,,,,,,,,,
364,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,892,1000000,691,3300196,,,,,,,,,,
365,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,890,1000000,691,3300196,,,,,,,,,,
366,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,776,1000000,691,3300196,,,,,,,,,,
367,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,780,1000000,691,3627829,,,,,,,,,,
368,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,1627,1000000,691,3300196,,,,,,,,,,
369,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,1644,1000000,691,3300196,,,,,,,,,,
370,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,1633,1000000,691,3300196,,,,,,,,,,
371,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,1646,1000000,691,3300196,,,,,,,,,,
372,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,1636,1000000,691,3300196,,,,,,,,,,
373,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11275,1000000,691,3300196,,,,,,,,,,
374,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11276,1000000,691,3300196,,,,,,,,,,
375,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11274,1000000,691,3300196,,,,,,,,,,
376,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11279,1000000,691,3300196,,,,,,,,,,
377,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11280,1000000,691,3300196,,,,,,,,,,
378,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11278,1000000,691,3300196,,,,,,,,,,
379,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11266,1000000,691,3300196,,,,,,,,,,
380,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11272,1000000,691,3300196,,,,,,,,,,
381,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11273,1000000,691,3300196,,,,,,,,,,
382,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11271,1000000,691,3300196,,,,,,,,,,
383,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10835,1000000,691,3300196,,,,,,,,,,
384,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10834,1000000,691,3300196,,,,,,,,,,
385,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10837,1000000,691,3627829,,,,,,,,,,
386,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10833,1000000,691,3300196,,,,,,,,,,
387,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10836,1000000,691,3300196,,,,,,,,,,
388,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10872,1000000,691,3300196,,,,,,,,,,
389,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10875,1000000,691,3300196,,,,,,,,,,
390,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10851,1000000,691,3300196,,,,,,,,,,
391,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10873,1000000,691,3627829,,,,,,,,,,
392,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10874,1000000,691,3300196,,,,,,,,,,
393,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11343,1000000,691,3300196,,,,,,,,,,
394,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11328,1000000,691,3300196,,,,,,,,,,
395,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11342,1000000,691,3300196,,,,,,,,,,
396,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11346,1000000,691,3300196,,,,,,,,,,
397,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11330,1000000,691,3300196,,,,,,,,,,
398,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11339,1000000,691,3300196,,,,,,,,,,
399,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11329,1000000,691,3300196,,,,,,,,,,
400,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11347,1000000,691,3300196,,,,,,,,,,
401,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11331,1000000,691,3300196,,,,,,,,,,
402,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11335,1000000,691,3300196,,,,,,,,,,
403,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11340,1000000,691,3300196,,,,,,,,,,
404,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11344,1000000,691,3627829,,,,,,,,,,
405,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11336,1000000,691,3300196,,,,,,,,,,
406,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11338,1000000,691,3300196,,,,,,,,,,
407,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11334,1000000,691,3300196,,,,,,,,,,
408,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11341,1000000,691,3300196,,,,,,,,,,
409,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11327,1000000,691,3300196,,,,,,,,,,
410,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11332,1000000,691,3300196,,,,,,,,,,
411,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11345,1000000,691,3300196,,,,,,,,,,
412,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,11333,1000000,691,3300196,,,,,,,,,,
413,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10538,1000000,691,3300196,,,,,,,,,,
414,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10547,1000000,691,3300196,,,,,,,,,,
415,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10542,1000000,691,3300196,,,,,,,,,,
416,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10544,1000000,691,3300196,,,,,,,,,,
417,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10549,1000000,691,3300196,,,,,,,,,,
418,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10510,1000000,691,3300196,,,,,,,,,,
419,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10506,1000000,691,3300196,,,,,,,,,,
420,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10508,1000000,691,3300196,,,,,,,,,,
421,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10502,1000000,691,3300196,,,,,,,,,,
422,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10504,1000000,691,3300196,,,,,,,,,,
423,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10528,1000000,691,3300196,,,,,,,,,,
424,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10536,1000000,691,3300196,,,,,,,,,,
425,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10530,1000000,691,3300196,,,,,,,,,,
426,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10534,1000000,691,3300196,,,,,,,,,,
427,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10525,1000000,691,3300196,,,,,,,,,,
428,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10514,1000000,691,3300196,,,,,,,,,,
429,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10521,1000000,691,3300196,,,,,,,,,,
430,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10512,1000000,691,3300196,,,,,,,,,,
431,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10519,1000000,691,3300196,,,,,,,,,,
432,2019-04-12,BHARATIYA JANATA PARTY,*******8244,TL,10516,1000000,691,3300196,,,,,,,,,,
433,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2124,100000,691,3627829,,,,,,,,,,
434,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2132,100000,691,3627829,,,,,,,,,,
435,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2122,100000,691,3627829,,,,,,,,,,
436,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2126,100000,691,3627829,,,,,,,,,,
437,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2128,100000,691,3627829,,,,,,,,,,
438,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2134,100000,691,3627829,,,,,,,,,,
439,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2130,100000,691,3627829,,,,,,,,,,
440,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2136,100000,691,3627829,,,,,,,,,,
441,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2140,100000,691,3627829,,,,,,,,,,
442,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2138,100000,691,3627829,,,,,,,,,,
443,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2149,100000,691,3627829,,,,,,,,,,
444,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2131,100000,691,3627829,,,,,,,,,,
445,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2145,100000,691,3627829,,,,,,,,,,
446,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2135,100000,691,3627829,,,,,,,,,,
447,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2141,100000,691,3627829,,,,,,,,,,
448,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2137,100000,691,3627829,,,,,,,,,,
449,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2139,100000,691,3627829,,,,,,,,,,
450,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2143,100000,691,3627829,,,,,,,,,,
451,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2133,100000,691,3627829,,,,,,,,,,
452,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,2147,100000,691,3627829,,,,,,,,,,
453,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3056,100000,691,3300196,,,,,,,,,,
454,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3059,100000,691,3300196,,,,,,,,,,
455,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3064,100000,691,3300196,,,,,,,,,,
456,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3053,100000,691,3300196,,,,,,,,,,
457,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3062,100000,691,3300196,,,,,,,,,,
458,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3101,100000,691,3300196,,,,,,,,,,
459,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3102,100000,691,3300196,,,,,,,,,,
460,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3106,100000,691,3300196,,,,,,,,,,
461,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3105,100000,691,3300196,,,,,,,,,,
462,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OL,3103,100000,691,3300196,,,,,,,,,,
463,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2586,10000000,691,3627829,,,,,,,,,,
464,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2603,10000000,691,3627829,,,,,,,,,,
465,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5253,10000000,691,3627829,,,,,,,,,,
466,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5252,10000000,691,3627829,,,,,,,,,,
467,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5255,10000000,691,3627829,,,,,,,,,,
468,2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,5251,10000000,691,3627829,,,,,,,,,,
