Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status
44,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,10000000,847,3367975,,,,,,,,,,
45,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,10000000,847,3367975,,,,,,,,,,
46,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,10000000,847,3367975,,,,,,,,,,
47,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,10000000,847,3367975,,,,,,,,,,
48,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,10000000,847,3367975,,,,,,,,,,
49,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,10000000,847,3367975,,,,,,,,,,
50,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,10000000,847,3367975,,,,,,,,,,
51,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,10000000,847,3367975,,,,,,,,,,
52,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,10000000,847,3367975,,,,,,,,,,
53,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,10000000,847,3367975,,,,,,,,,,
54,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,10000000,847,3367975,,,,,,,,,,
55,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,10000000,847,3367975,,,,,,,,,,
56,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,1000000,847,3367975,,,,,,,,,,
57,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,1000000,847,3367975,,,,,,,,,,
58,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,1000000,847,3367975,,,,,,,,,,
59,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,1000000,847,3367975,,,,,,,,,,
60,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,1000000,847,3367975,,,,,,,,,,
61,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4274,10000000,691,3627829,,,,,,,,,,
62,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4276,10000000,691,3627829,,,,,,,,,,
63,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5827,10000000,691,3627829,,,,,,,,,,
64,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5847,10000000,691,3627829,,,,,,,,,,
65,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4303,10000000,691,3627829,,,,,,,,,,
66,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4301,10000000,691,3627829,,,,,,,,,,
67,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5831,10000000,691,3627829,,,,,,,,,,
68,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4321,10000000,691,3627829,,,,,,,,,,
69,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5861,10000000,691,3627829,,,,,,,,,,
70,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4325,10000000,691,3627829,,,,,,,,,,
71,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5843,10000000,691,3627829,,,,,,,,,,
72,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5837,10000000,691,3627829,,,,,,,,,,
73,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5817,10000000,691,3627829,,,,,,,,,,
74,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4319,10000000,691,3627829,,,,,,,,,,
75,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4293,10000000,691,3627829,,,,,,,,,,
76,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4305,10000000,691,3627829,,,,,,,,,,
77,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5801,10000000,691,3627829,,,,,,,,,,
78,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5825,10000000,691,3627829,,,,,,,,,,
79,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4313,10000000,691,3627829,,,,,,,,,,
80,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5805,10000000,691,3627829,,,,,,,,,,
81,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5829,10000000,691,3627829,,,,,,,,,,
82,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5821,10000000,691,3627829,,,,,,,,,,
83,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5839,10000000,691,3627829,,,,,,,,,,
84,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5841,10000000,691,3627829,,,,,,,,,,
85,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5813,10000000,691,3627829,,,,,,,,,,
86,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5833,10000000,691,3627829,,,,,,,,,,
87,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4327,10000000,691,3627829,,,,,,,,,,
88,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4311,10000000,691,3627829,,,,,,,,,,
89,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4347,10000000,691,3627829,,,,,,,,,,
90,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4317,10000000,691,3627829,,,,,,,,,,
91,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5809,10000000,691,3627829,,,,,,,,,,
92,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5855,10000000,691,3627829,,,,,,,,,,
93,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4333,10000000,691,3627829,,,,,,,,,,
94,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4335,10000000,691,3627829,,,,,,,,,,
95,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4337,10000000,691,3627829,,,,,,,,,,
96,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4343,10000000,691,3627829,,,,,,,,,,
97,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4295,10000000,691,3627829,,,,,,,,,,
98,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4331,10000000,691,3627829,,,,,,,,,,
99,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5819,10000000,691,3627829,,,,,,,,,,
100,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5853,10000000,691,3627829,,,,,,,,,,
101,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5857,10000000,691,3627829,,,,,,,,,,
102,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4349,10000000,691,3627829,,,,,,,,,,
103,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5803,10000000,691,3627829,,,,,,,,,,
104,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5849,10000000,691,3627829,,,,,,,,,,
105,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4299,10000000,691,3627829,,,,,,,,,,
106,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4329,10000000,691,3627829,,,,,,,,,,
107,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4315,10000000,691,3627829,,,,,,,,,,
108,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4339,10000000,691,3627829,,,,,,,,,,
109,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5835,10000000,691,3627829,,,,,,,,,,
110,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5807,10000000,691,3627829,,,,,,,,,,
111,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5811,10000000,691,3627829,,,,,,,,,,
