Date of Encashment,Name of the Political Party,Denomination,count
2019-04-25,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,2
2019-04-25,SHIVSENA (POLITICAL PARTY),100000,10
2019-04-26,BIHAR PRADESH JANTA DAL(UNITED),10000000,1
2019-04-26,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2019-04-26,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,22
2019-04-26,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2019-04-29,BHARTIYA JANTA PARTY,100000,5
2019-04-29,BHARTIYA JANTA PARTY,1000000,48
2019-04-29,BHARTIYA JANTA PARTY,10000000,13
2019-04-29,JAMMU AND KASHMIR NATIONAL CONFERENCE,1000000,5
2019-04-30,SHIVSENA (POLITICAL PARTY),100000,8
2019-04-30,SHIVSENA (POLITICAL PARTY),1000000,3
2019-05-02,BHARTIYA JANTA PARTY,100000,1
2019-05-02,BHARTIYA JANTA PARTY,10000000,2
2019-05-03,BHARTIYA JANTA PARTY,10000000,5
2019-05-04,SHIVSENA (POLITICAL PARTY),100000,5
2019-05-04,SHIVSENA (POLITICAL PARTY),1000000,2
2019-05-08,ALL INDIA TRINAMOOL CONGRESS,10000000,5
2019-05-08,BHARAT RASHTRA SAMITHI,10000000,7
2019-05-08,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2019-05-08,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2019-05-09,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,10
2019-05-09,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2019-05-10,ADYAKSHA SAMAJVADI PARTY,10000000,10
2019-05-10,BHARTIYA JANTA PARTY,100000,15
2019-05-10,BHARTIYA JANTA PARTY,1000000,90
2019-05-10,BHARTIYA JANTA PARTY,10000000,387
2019-05-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2019-05-10,SHIROMANI AKALI DAL,1000000,5
2019-05-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,15
2019-05-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11
2019-05-13,SHIVSENA (POLITICAL PARTY),1000000,5
2019-05-14,ALL INDIA TRINAMOOL CONGRESS,1000,6
2019-05-14,ALL INDIA TRINAMOOL CONGRESS,10000,4
2019-05-14,ALL INDIA TRINAMOOL CONGRESS,100000,5
2019-05-14,ALL INDIA TRINAMOOL CONGRESS,1000000,39
2019-05-14,ALL INDIA TRINAMOOL CONGRESS,10000000,24
2019-05-14,BHARTIYA JANTA PARTY,100000,5
2019-05-14,BHARTIYA JANTA PARTY,1000000,12
2019-05-14,BHARTIYA JANTA PARTY,10000000,240
2019-05-15,AAM AADMI PARTY,10000000,1
2019-05-15,BHARAT RASHTRA SAMITHI,1000,9
2019-05-15,BHARAT RASHTRA SAMITHI,10000,2
2019-05-15,BHARAT RASHTRA SAMITHI,1000000,6
2019-05-15,BHARAT RASHTRA SAMITHI,10000000,1
2019-05-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2019-05-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2019-05-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,9
2019-05-17,BHARAT RASHTRA SAMITHI,10000000,4
2019-05-20,BHARTIYA JANTA PARTY,100000,5
2019-05-20,BHARTIYA JANTA PARTY,1000000,91
2019-05-20,BHARTIYA JANTA PARTY,10000000,61
2019-05-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2019-05-21,AAM AADMI PARTY,10000000,1
2019-05-22,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2019-05-22,BHARAT RASHTRA SAMITHI,10000000,1
2019-05-22,BHARTIYA JANTA PARTY,100000,5
2019-05-22,BHARTIYA JANTA PARTY,1000000,1
2019-07-11,SHIVSENA (POLITICAL PARTY),10000000,5
2019-07-15,ALL INDIA TRINAMOOL CONGRESS,100000,18
2019-07-15,ALL INDIA TRINAMOOL CONGRESS,1000000,42
2019-07-15,ALL INDIA TRINAMOOL CONGRESS,10000000,11
2019-07-18,BHARTIYA JANTA PARTY,10000000,11
2019-07-20,BIJU JANATA DAL,10000000,10
2019-07-22,BHARTIYA JANTA PARTY,10000000,4
2019-10-03,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2019-10-05,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,2
2019-10-05,SHIVSENA (POLITICAL PARTY),10000000,3
2019-10-09,SHIVSENA,10000000,1
2019-10-09,SHIVSENA (POLITICAL PARTY),1000000,15
2019-10-09,SHIVSENA (POLITICAL PARTY),10000000,2
2019-10-10,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,1000000,5
2019-10-10,NATIONALIST CONGRESS PARTY PARLIAMENT OF,100000,10
2019-10-10,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,19
2019-10-10,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,5
2019-10-11,BHARTIYA JANTA PARTY,100000,5
2019-10-11,BHARTIYA JANTA PARTY,1000000,12
2019-10-11,BHARTIYA JANTA PARTY,10000000,92
2019-10-11,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,5
2019-10-11,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,2
2019-10-14,SHIVSENA (POLITICAL PARTY),1000000,5
2019-10-14,SHIVSENA (POLITICAL PARTY),10000000,5
2019-10-15,BHARTIYA JANTA PARTY,10000,10
2019-10-15,BHARTIYA JANTA PARTY,100000,132
2019-10-15,BHARTIYA JANTA PARTY,1000000,75
2019-10-15,BHARTIYA JANTA PARTY,10000000,27
2019-10-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,5
2019-10-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2019-10-16,BHARTIYA JANTA PARTY,10000000,35
2019-10-18,BHARTIYA JANTA PARTY,10000000,5
2019-10-19,BHARTIYA JANTA PARTY,10000000,13
2019-10-19,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2019-10-22,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2019-10-23,BHARTIYA JANTA PARTY,1000000,1
2019-10-23,BHARTIYA JANTA PARTY,10000000,3
2020-01-20,BIJU JANATA DAL,10000000,4
2020-01-21,BHARTIYA JANTA PARTY,10000000,45
2020-01-24,AAM AADMI PARTY,1000000,3
2020-01-24,BIJU JANATA DAL,10000000,3
2020-01-27,ALL INDIA TRINAMOOL CONGRESS,100000,17
2020-01-27,ALL INDIA TRINAMOOL CONGRESS,1000000,12
2020-01-27,ALL INDIA TRINAMOOL CONGRESS,10000000,11
2020-01-27,BHARTIYA JANTA PARTY,10000000,5
2020-01-27,BIJU JANATA DAL,10000000,3
2020-01-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2020-01-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,19
2020-01-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,4
2020-02-03,BHARTIYA JANTA PARTY,10000000,3
