Date of Encashment,Name of the Political Party,Denomination,count
2022-04-11,DMK PARTY IN PARLIAMENT,10000000,100
2022-04-12,BHARAT RASHTRA SAMITHI,10000000,268
2022-04-12,BHARTIYA JANTA PARTY,10000000,43
2022-04-13,BHARAT RASHTRA SAMITHI,10000,37
2022-04-13,BHARAT RASHTRA SAMITHI,100000,45
2022-04-13,BHARAT RASHTRA SAMITHI,1000000,5
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,49
2022-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2022-04-18,BHARTIYA JANTA PARTY,1000000,5
2022-04-18,BHARTIYA JANTA PARTY,10000000,55
2022-04-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,10
2022-04-19,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2022-07-04,BIJU JANATA DAL,10000000,50
2022-07-05,BHARAT RASHTRA SAMITHI,10000000,10
2022-07-05,TELUGU DESAM PARTY,10000000,3
2022-07-06,BHARAT RASHTRA SAMITHI,10000000,25
2022-07-06,BIJU JANATA DAL,10000000,45
2022-07-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,30
2022-07-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2022-07-08,DMK PARTY IN PARLIAMENT,10000000,50
2022-07-11,ALL INDIA TRINAMOOL CONGRESS,10000000,19
2022-07-11,BHARAT RASHTRA SAMITHI,1000000,15
2022-07-11,BHARAT RASHTRA SAMITHI,10000000,6
2022-07-11,BIJU JANATA DAL,10000000,7
2022-07-11,DMK PARTY IN PARLIAMENT,10000000,25
2022-07-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2022-07-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,34
2022-07-11,TELUGU DESAM PARTY,10000000,5
2022-07-12,ALL INDIA TRINAMOOL CONGRESS,1000000,5
2022-07-12,ALL INDIA TRINAMOOL CONGRESS,10000000,44
2022-07-12,BHARTIYA JANTA PARTY,1000000,5
2022-07-12,BHARTIYA JANTA PARTY,10000000,12
2022-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2022-07-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,4
2022-07-13,BHARAT RASHTRA SAMITHI,10000000,8
2022-07-13,BIJU JANATA DAL,1000000,10
2022-07-13,BIJU JANATA DAL,10000000,4
2022-07-14,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2022-07-16,BHARAT RASHTRA SAMITHI,1000000,5
2022-07-16,BHARAT RASHTRA SAMITHI,10000000,12
2022-07-19,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,7
2022-10-10,AAM AADMI PARTY,10000000,2
2022-10-10,BHARAT RASHTRA SAMITHI,10000000,25
2022-10-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2022-10-11,ALL INDIA TRINAMOOL CONGRESS,10000000,10
2022-10-11,BHARAT RASHTRA SAMITHI,1000000,10
2022-10-11,BHARAT RASHTRA SAMITHI,10000000,29
2022-10-11,BHARTIYA JANTA PARTY,10000000,79
2022-10-11,BIJU JANATA DAL,1000000,10
2022-10-11,BIJU JANATA DAL,10000000,34
2022-10-12,AAM AADMI PARTY,10000000,2
2022-10-12,ALL INDIA TRINAMOOL CONGRESS,10000000,50
2022-10-12,DMK PARTY IN PARLIAMENT,10000000,10
2022-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2022-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2022-10-13,ALL INDIA TRINAMOOL CONGRESS,10000000,30
2022-10-13,SIKKIM KRANTIKARI MORCHA,10000000,2
2022-10-13,TELUGU DESAM PARTY,10000000,5
2022-10-13,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,5
2022-10-14,AAM AADMI PARTY,100000,20
2022-10-14,AAM AADMI PARTY,1000000,24
2022-10-14,AAM AADMI PARTY,10000000,5
2022-10-14,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2022-10-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,50
2022-10-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2022-10-15,AAM AADMI PARTY,100000,5
2022-10-15,AAM AADMI PARTY,1000000,9
2022-10-15,AAM AADMI PARTY,10000000,6
2022-10-15,ALL INDIA TRINAMOOL CONGRESS,1000000,21
2022-10-15,ALL INDIA TRINAMOOL CONGRESS,10000000,31
2022-10-15,BHARTIYA JANTA PARTY,1000000,10
2022-10-15,BHARTIYA JANTA PARTY,10000000,99
2022-10-18,BHARTIYA JANTA PARTY,1000000,5
2022-10-18,BHARTIYA JANTA PARTY,10000000,12
2022-10-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,30
2022-10-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2022-10-20,AAM AADMI PARTY,1000000,14
2022-10-20,AAM AADMI PARTY,10000000,5
2022-10-20,JANASENA PARTY,10000000,2
2022-10-21,AAM AADMI PARTY,1000000,5
2022-10-21,BHARTIYA JANTA PARTY,10000000,31
2022-11-14,AAM AADMI PARTY,10000000,5
2022-11-14,BHARTIYA JANTA PARTY,10000000,200
2022-11-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,4
2022-11-16,BHARTIYA JANTA PARTY,100000,5
2022-11-16,BHARTIYA JANTA PARTY,1000000,7
2022-11-16,BHARTIYA JANTA PARTY,10000000,201
2022-11-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,17
2022-11-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2022-11-18,BHARTIYA JANTA PARTY,1000,29
2022-11-18,BHARTIYA JANTA PARTY,10000,27
2022-11-18,BHARTIYA JANTA PARTY,100000,67
2022-11-18,BHARTIYA JANTA PARTY,1000000,19
2022-11-18,BHARTIYA JANTA PARTY,10000000,185
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,21
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,11
2022-11-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,9
2022-11-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,12
2022-11-19,AAM AADMI PARTY,10000000,2
2022-11-21,AAM AADMI PARTY,1000000,10
2022-11-21,BHARTIYA JANTA PARTY,1000000,5
2022-11-21,BHARTIYA JANTA PARTY,10000000,13
2022-11-22,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2022-11-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2022-11-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,2
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,100000,50
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,25
2022-11-23,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,1
2022-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2022-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1
2022-11-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,3
2022-12-09,AAM AADMI PARTY,10000000,1
2022-12-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,20
2022-12-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2022-12-14,AAM AADMI PARTY,10000000,2
2022-12-14,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2022-12-14,BHARTIYA JANTA PARTY,1000000,20
2022-12-14,BHARTIYA JANTA PARTY,10000000,107
2022-12-15,AAM AADMI PARTY,10000000,2
2022-12-15,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2022-12-16,AAM AADMI PARTY,1000000,1
2022-12-16,AAM AADMI PARTY,10000000,3
2022-12-16,BHARTIYA JANTA PARTY,10000000,49
2022-12-16,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,1
2022-12-17,AAM AADMI PARTY,10000000,3
2022-12-19,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2022-12-19,BHARTIYA JANTA PARTY,10000000,7
2022-12-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-01-24,TELUGU DESAM PARTY,10000000,6
2023-01-27,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2023-01-27,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,21
2023-01-27,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,7
2023-01-30,ALL INDIA TRINAMOOL CONGRESS,1000000,15
2023-01-30,ALL INDIA TRINAMOOL CONGRESS,10000000,39
2023-01-30,BHARTIYA JANTA PARTY,10000000,100
2023-01-31,BHARAT RASHTRA SAMITHI,100000,5
2023-01-31,TELUGU DESAM PARTY,10000000,13
2023-02-01,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2023-02-01,BHARTIYA JANTA PARTY,10000000,37
2023-02-01,BIJU JANATA DAL,1000000,20
2023-02-01,BIJU JANATA DAL,10000000,5
2023-02-01,JHARKHAND MUKTI MORCHA,100000,10
2023-02-01,JHARKHAND MUKTI MORCHA,1000000,9
2023-02-01,TELUGU DESAM PARTY,10000000,2
2023-02-02,SIKKIM KRANTIKARI MORCHA,1000000,5
2023-02-02,SIKKIM KRANTIKARI MORCHA,10000000,2
2023-02-04,BHARTIYA JANTA PARTY,100000,10
2023-02-04,BHARTIYA JANTA PARTY,1000000,5
2023-02-04,BHARTIYA JANTA PARTY,10000000,21
2023-02-07,BHARTIYA JANTA PARTY,1000000,22
2023-02-07,BHARTIYA JANTA PARTY,10000000,32
2023-02-07,SIKKIM KRANTIKARI MORCHA,10000000,3
2023-04-06,BHARAT RASHTRA SAMITHI,10000000,10
2023-04-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,6
2023-04-10,DMK PARTY IN PARLIAMENT,10000000,40
2023-04-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,5
2023-04-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,2
2023-04-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,72
2023-04-11,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,13
2023-04-11,TELUGU DESAM PARTY,10000000,2
2023-04-11,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,10
2023-04-12,BHARTIYA JANTA PARTY,10000000,177
2023-04-13,ALL INDIA TRINAMOOL CONGRESS,1000000,22
2023-04-13,ALL INDIA TRINAMOOL CONGRESS,10000000,68
2023-04-13,BHARAT RASHTRA SAMITHI,1000000,10
2023-04-13,BHARAT RASHTRA SAMITHI,10000000,29
2023-04-13,JHARKHAND MUKTI MORCHA,10000000,1
2023-04-13,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,5
2023-04-13,NATIONALIST CONGRESS PARTY PARLIAMENT OF,10000000,1
2023-04-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-04-13,TELUGU DESAM PARTY,10000000,5
2023-04-15,BHARAT RASHTRA SAMITHI,1000000,41
2023-04-15,BHARAT RASHTRA SAMITHI,10000000,11
2023-04-15,BIJU JANATA DAL,10000000,15
2023-04-15,JANASENA PARTY,10000000,2
2023-04-15,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,25
2023-04-17,ALL INDIA TRINAMOOL CONGRESS,100000,5
2023-04-17,ALL INDIA TRINAMOOL CONGRESS,1000000,18
2023-04-17,ALL INDIA TRINAMOOL CONGRESS,10000000,10
2023-04-17,BHARAT RASHTRA SAMITHI,10000000,35
2023-04-17,BHARTIYA JANTA PARTY,10000,5
2023-04-17,BHARTIYA JANTA PARTY,100000,14
2023-04-17,BHARTIYA JANTA PARTY,1000000,59
2023-04-17,BHARTIYA JANTA PARTY,10000000,137
2023-04-17,JANATA DAL ( SECULAR ),1000000,10
2023-04-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,60
2023-04-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,71
2023-04-17,TELUGU DESAM PARTY,10000000,25
2023-04-18,ALL INDIA TRINAMOOL CONGRESS,100000,25
2023-04-18,ALL INDIA TRINAMOOL CONGRESS,1000000,99
2023-04-18,ALL INDIA TRINAMOOL CONGRESS,10000000,12
2023-04-18,BHARAT RASHTRA SAMITHI,10000000,1
2023-04-18,BHARTIYA JANTA PARTY,1000000,50
2023-04-18,BHARTIYA JANTA PARTY,10000000,5
2023-04-18,JANATA DAL ( SECULAR ),10000000,40
2023-04-19,ALL INDIA TRINAMOOL CONGRESS,1000000,33
2023-04-19,ALL INDIA TRINAMOOL CONGRESS,10000000,60
2023-04-20,ALL INDIA TRINAMOOL CONGRESS,1000000,25
2023-04-20,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2023-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,13
2023-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11
2023-04-21,ALL INDIA TRINAMOOL CONGRESS,1000000,19
2023-04-24,BHARTIYA JANTA PARTY,1000000,2
2023-04-24,BHARTIYA JANTA PARTY,10000000,4
2023-04-26,ALL INDIA TRINAMOOL CONGRESS,10000,5
2023-04-26,ALL INDIA TRINAMOOL CONGRESS,100000,5
2023-07-07,BIJU JANATA DAL,10000000,50
2023-07-10,BHARTIYA JANTA PARTY,10000000,10
2023-07-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2023-07-10,TELUGU DESAM PARTY,1000000,5
2023-07-11,AAM AADMI PARTY,1000000,10
2023-07-11,AAM AADMI PARTY,10000000,4
2023-07-11,ALL INDIA TRINAMOOL CONGRESS,10000000,45
2023-07-11,BIJU JANATA DAL,1000000,5
2023-07-11,BIJU JANATA DAL,10000000,7
2023-07-12,ALL INDIA TRINAMOOL CONGRESS,10000000,20
2023-07-12,BHARTIYA JANTA PARTY,1000000,5
2023-07-12,BHARTIYA JANTA PARTY,10000000,39
2023-07-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,5
2023-07-13,ALL INDIA TRINAMOOL CONGRESS,1000000,20
2023-07-13,ALL INDIA TRINAMOOL CONGRESS,10000000,40
2023-07-13,BHARAT RASHTRA SAMITHI,100000,60
2023-07-13,BHARAT RASHTRA SAMITHI,1000000,54
2023-07-13,BHARAT RASHTRA SAMITHI,10000000,218
2023-07-13,BIJU JANATA DAL,1000000,10
2023-07-13,BIJU JANATA DAL,10000000,83
2023-07-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-07-13,TELUGU DESAM PARTY,10000000,2
2023-07-14,ALL INDIA TRINAMOOL CONGRESS,1000000,50
2023-07-14,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2023-07-14,BHARAT RASHTRA SAMITHI,100000,92
2023-07-14,BHARAT RASHTRA SAMITHI,1000000,68
2023-07-14,BHARAT RASHTRA SAMITHI,10000000,17
2023-07-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-07-14,TELUGU DESAM PARTY,100000,5
2023-07-14,TELUGU DESAM PARTY,1000000,2
2023-07-15,AAM AADMI PARTY,10000000,5
2023-07-15,BHARAT RASHTRA SAMITHI,1000000,30
2023-07-15,BHARAT RASHTRA SAMITHI,10000000,18
2023-07-15,BHARTIYA JANTA PARTY,100000,9
2023-07-15,BHARTIYA JANTA PARTY,1000000,19
2023-07-15,BHARTIYA JANTA PARTY,10000000,25
2023-07-15,BIJU JANATA DAL,10000000,14
2023-07-17,BHARAT RASHTRA SAMITHI,1000000,7
2023-07-17,BHARAT RASHTRA SAMITHI,10000000,18
2023-07-17,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,25
2023-07-18,BHARAT RASHTRA SAMITHI,10000000,25
2023-07-18,RASHTRIYA JANTA DAL,10000000,1
2023-07-18,RASTRIYA JANTA DAL,1000000,17
2023-07-18,RASTRIYA JANTA DAL,10000000,18
2023-07-19,ALL INDIA TRINAMOOL CONGRESS,10000000,2
2023-07-19,RASTRIYA JANTA DAL,1000000,23
2023-07-19,RASTRIYA JANTA DAL,10000000,7
2023-07-20,BHARTIYA JANTA PARTY,100000,44
2023-07-20,BHARTIYA JANTA PARTY,1000000,40
2023-07-20,BHARTIYA JANTA PARTY,10000000,6
2023-07-20,SIKKIM KRANTIKARI MORCHA,10000000,8
2023-07-24,BHARAT RASHTRA SAMITHI,10000000,1
2023-07-24,BHARTIYA JANTA PARTY,1000,1
2023-07-24,JHARKHAND MUKTI MORCHA,10000000,5
2023-07-25,BHARAT RASHTRA SAMITHI,10000000,4
2023-07-25,SHIVSENA (POLITICAL PARTY),10000000,33
2023-07-26,AAM AADMI PARTY,100000,5
2023-07-26,AAM AADMI PARTY,1000000,1
2023-10-05,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2023-10-06,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,56
2023-10-07,BHARAT RASHTRA SAMITHI,10000000,10
2023-10-07,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-10-09,ALL INDIA TRINAMOOL CONGRESS,100000,10
2023-10-09,ALL INDIA TRINAMOOL CONGRESS,1000000,9
2023-10-09,ALL INDIA TRINAMOOL CONGRESS,10000000,68
2023-10-09,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,20
2023-10-09,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,58
2023-10-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,3
2023-10-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,19
2023-10-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,126
2023-10-12,BHARAT RASHTRA SAMITHI,100000,40
2023-10-12,BHARAT RASHTRA SAMITHI,1000000,11
2023-10-12,BHARAT RASHTRA SAMITHI,10000000,11
2023-10-12,BHARTIYA JANTA PARTY,10000000,10
2023-10-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,25
2023-10-13,ALL INDIA TRINAMOOL CONGRESS,100000,25
2023-10-13,ALL INDIA TRINAMOOL CONGRESS,1000000,32
2023-10-13,ALL INDIA TRINAMOOL CONGRESS,10000000,6
2023-10-13,BHARAT RASHTRA SAMITHI,10000000,11
2023-10-13,BHARTIYA JANTA PARTY,1000000,5
2023-10-13,BHARTIYA JANTA PARTY,10000000,197
2023-10-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,8
2023-10-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,29
2023-10-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,62
2023-10-13,TELUGU DESAM PARTY,100000,8
2023-10-13,TELUGU DESAM PARTY,1000000,8
2023-10-13,TELUGU DESAM PARTY,10000000,10
2023-10-16,ALL INDIA TRINAMOOL CONGRESS,100000,5
2023-10-16,ALL INDIA TRINAMOOL CONGRESS,1000000,35
2023-10-16,ALL INDIA TRINAMOOL CONGRESS,10000000,47
2023-10-16,BHARAT RASHTRA SAMITHI,10000000,33
2023-10-16,BHARTIYA JANTA PARTY,100000,15
2023-10-16,BHARTIYA JANTA PARTY,1000000,43
2023-10-16,BHARTIYA JANTA PARTY,10000000,61
2023-10-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2023-10-16,SIKKIM KRANTIKARI MORCHA,10000000,3
2023-10-17,ALL INDIA TRINAMOOL CONGRESS,1000,8
2023-10-17,ALL INDIA TRINAMOOL CONGRESS,10000,8
2023-10-17,ALL INDIA TRINAMOOL CONGRESS,100000,1
2023-10-17,ALL INDIA TRINAMOOL CONGRESS,1000000,15
2023-10-17,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2023-10-17,JHARKHAND MUKTI MORCHA,1000000,5
2023-10-17,JHARKHAND MUKTI MORCHA,10000000,5
2023-10-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,20
2023-10-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,108
2023-10-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,42
2023-10-17,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2023-10-17,SIKKIM KRANTIKARI MORCHA,1000000,10
2023-10-17,SIKKIM KRANTIKARI MORCHA,10000000,14
2023-10-18,ALL INDIA TRINAMOOL CONGRESS,100000,12
2023-10-18,ALL INDIA TRINAMOOL CONGRESS,1000000,43
2023-10-18,ALL INDIA TRINAMOOL CONGRESS,10000000,5
2023-10-18,BHARAT RASHTRA SAMITHI,100000,20
2023-10-18,BHARAT RASHTRA SAMITHI,1000000,8
2023-10-18,BHARAT RASHTRA SAMITHI,10000000,5
2023-10-18,BIJU JANATA DAL,10000000,40
2023-10-18,SHIVSENA (POLITICAL PARTY),1000,44
2023-10-18,SHIVSENA (POLITICAL PARTY),10000,27
2023-10-18,SHIVSENA (POLITICAL PARTY),10000000,37
2023-10-18,TELUGU DESAM PARTY,100000,5
2023-10-18,TELUGU DESAM PARTY,1000000,2
2023-10-19,BHARTIYA JANTA PARTY,1000000,75
2023-10-19,BHARTIYA JANTA PARTY,10000000,57
2023-10-19,BIJU JANATA DAL,10000000,5
2023-10-19,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2023-10-19,RASTRIYA JANTA DAL,10000000,24
2023-10-19,SHIVSENA (POLITICAL PARTY),100000,10
2023-10-19,SHIVSENA (POLITICAL PARTY),1000000,7
2023-10-19,SHIVSENA (POLITICAL PARTY),10000000,1
2023-10-20,ALL INDIA TRINAMOOL CONGRESS,100000,2
2023-10-20,ALL INDIA TRINAMOOL CONGRESS,1000000,56
2023-10-20,ALL INDIA TRINAMOOL CONGRESS,10000000,6
2023-10-20,RASTRIYA JANTA DAL,100000,10
2023-10-20,RASTRIYA JANTA DAL,1000000,9
2023-10-20,SHIVSENA (POLITICAL PARTY),100000,17
2023-10-21,BHARTIYA JANTA PARTY,10000000,5
2023-10-21,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,2
2023-10-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,7
2023-10-25,BHARTIYA JANTA PARTY,1000000,1
2023-10-25,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2023-10-26,ALL INDIA TRINAMOOL CONGRESS,1000000,7
2023-10-26,ALL INDIA TRINAMOOL CONGRESS,10000000,1
2023-10-26,BHARTIYA JANTA PARTY,1000000,5
2023-10-26,BHARTIYA JANTA PARTY,10000000,15
2023-10-27,ALL INDIA TRINAMOOL CONGRESS,100000,3
2023-10-27,ALL INDIA TRINAMOOL CONGRESS,10000000,3
2023-10-27,BHARTIYA JANTA PARTY,10000000,1
2023-11-09,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,6
2023-11-10,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,19
2023-11-10,SIKKIM DEMOCRATIC FRONT,10000000,5
2023-11-13,BHARTIYA JANTA PARTY,100000,5
2023-11-13,BHARTIYA JANTA PARTY,1000000,2
2023-11-13,BHARTIYA JANTA PARTY,10000000,115
2023-11-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2023-11-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,4
2023-11-13,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,8
2023-11-14,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,30
2023-11-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,9
2023-11-16,BHARAT RASHTRA SAMITHI,1000000,5
2023-11-17,BHARTIYA JANTA PARTY,100000,5
2023-11-17,BHARTIYA JANTA PARTY,1000000,2
2023-11-17,BHARTIYA JANTA PARTY,10000000,148
2023-11-17,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,20
2023-11-18,BHARAT RASHTRA SAMITHI,10000000,8
2023-11-20,BHARTIYA JANTA PARTY,1000000,15
2023-11-20,BHARTIYA JANTA PARTY,10000000,168
2023-11-20,BIJU JANATA DAL,10000000,5
2023-11-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2023-11-21,BHARTIYA JANTA PARTY,10000000,35
2023-11-21,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,40
2023-11-22,BHARTIYA JANTA PARTY,10000000,135
2023-11-22,TELUGU DESAM PARTY,1000000,9
2023-11-22,TELUGU DESAM PARTY,10000000,9
2023-11-23,BHARAT RASHTRA SAMITHI,10000000,5
2023-11-23,BHARTIYA JANTA PARTY,10000000,80
2023-11-24,BHARTIYA JANTA PARTY,10000,1
2023-11-24,BHARTIYA JANTA PARTY,1000000,10
2023-11-24,BHARTIYA JANTA PARTY,10000000,13
2023-11-24,BIJU JANATA DAL,10000000,25
2023-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,20
2023-11-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11
2023-11-24,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,4
2023-11-28,ALL INDIA TRINAMOOL CONGRESS,100000,3
2023-11-28,ALL INDIA TRINAMOOL CONGRESS,1000000,7
2023-11-28,ALL INDIA TRINAMOOL CONGRESS,10000000,6
2023-11-28,BHARTIYA JANTA PARTY,10000000,5
2023-11-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,10
2023-11-28,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,38
2023-11-28,TELUGU DESAM PARTY,1000000,1
2023-12-01,BHARTIYA JANTA PARTY,1000000,3
2023-12-01,BHARTIYA JANTA PARTY,10000000,1
2023-12-02,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,25
2023-12-04,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,9
2024-01-08,TELUGU DESAM PARTY,1000000,2
2024-01-08,TELUGU DESAM PARTY,10000000,10
2024-01-10,ALL INDIA TRINAMOOL CONGRESS,10000000,35
2024-01-11,ALL INDIA TRINAMOOL CONGRESS,1000000,10
2024-01-11,ALL INDIA TRINAMOOL CONGRESS,10000000,62
2024-01-11,TELUGU DESAM PARTY,10000000,35
2024-01-12,BHARTIYA JANTA PARTY,10000000,110
2024-01-12,TELUGU DESAM PARTY,10000000,47
2024-01-15,ALL INDIA TRINAMOOL CONGRESS,100000,10
2024-01-15,ALL INDIA TRINAMOOL CONGRESS,1000000,49
2024-01-15,ALL INDIA TRINAMOOL CONGRESS,10000000,10
2024-01-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,10
2024-01-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,63
2024-01-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,15
2024-01-15,SHIVSENA (POLITICAL PARTY),10000000,25
2024-01-16,ALL INDIA TRINAMOOL CONGRESS,100000,10
2024-01-16,ALL INDIA TRINAMOOL CONGRESS,1000000,19
2024-01-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,5
2024-01-16,TELUGU DESAM PARTY,10000000,20
2024-01-17,ALL INDIA TRINAMOOL CONGRESS,100000,5
2024-01-17,ALL INDIA TRINAMOOL CONGRESS,1000000,4
